Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
N157,,,,,1388.4,,,,
N158,,,,,968.5,,,,
N159,,,,,1065.05,,,,
N160,,,,,426.95,,,,
N161,,,,,600.85,,,,
N162,,,,,430.75,,,,
N163,,,,,614.7,,,,
N164,,,,,696.35,,,,
N165,,,,,430.75,,,,
N166,,,,,345.35,,,,
N167,,,,,952.55,,,,
N168,,,,,614.7,,,,
N169,,,,,461.1,,,,
N174,,,,,585.9,,,,
N177,,,,,430.75,,,,
N183,,,,,471.05,,,,
N184,,,,,165.2,,,,
N188,,,,,153.7,,,,
N189,,,,,279.25,,,,
N190,,,,,215.35,,,,
N200,,,,,738.6,,,,
N201,,,,,855.8,,,,
N202,,,,,540.95,,,,
N203,,,,,408.3,,,,
N206,,,,,430.75,,,,
N207,,,,,563.5,,,,
N208,,,,,918.15,,,,
N211,,,,,1116.6,,,,
N212,,,,,1045.45,,,,
N213,,,,,1116.6,,,,
N218,,,,,1364.05,,,,
N223,,,,,798.8,,,,
N230,,,,,1027.4,,,,
N245,,,,,585.9,,,,
N246,,,,,289.7,,,,
N249,,,,,1084.25,,,,
N258,,,,,504.95,,,,
N259,,,,,671.75,,,,
N265,,,,,348.3,,,,
N266,,,,,727.8,,,,
N267,,,,,1280.9,,,,
N269,,,,,292.25,,,,
N282,,,,,1000,,,,
N283,,,,,389.05,,,,
N284,,,,,408,,,,
N285,,,,,256.15,,,,
N286,,,,,317.85,,,,
N287,,,,,500,,,,
N288,,,,,927.55,,,,
N289,,,,,250,,,,
N290,,,,,156.75,,,,
N291,,,,,727.8,,,,
N293,,,,,363.9,,,,
N295,,,,,109.95,,,,
N500,,,,,918,,,,
N501,,,,,1100.4,,,,
N502,,,,,1530,,,,
N503,,,,,1836,,,,
N504,,,,,1122,,,,
N505,,,,,1428,,,,
N506,,,,,1224,,,,
N507,,,,,1734,,,,
N508,,,,,918,,,,
N509,,,,,1004.7,,,,
N510,,,,,1208.7,,,,
N511,,,,,800.7,,,,
N512,,,,,1004.7,,,,
N513,,,,,867,,,,
N514,,,,,408,,,,
N515,,,,,1020,,,,
N516,,,,,510,,,,
N517,,,,,1224,,,,
N518,,,,,765,,,,
N519,,,,,612,,,,
N520,,,,,1514.7,,,,
N521,,,,,357,,,,
N522,,,,,535.5,,,,
N523,,,,,1891.7,,,,
N524,,,,,1208.7,,,,
N525,,,,,1734,,,,
N526,,,,,2040,,,,
N527,,,,,469.2,,,,
N528,,,,,1020,,,,
N529,,,,,1020,,,,
N530,,,,,1008.9,,,,
N531,,,,,306,,,,
N532,,,,,1224,,,,
N533,,,,,1020,,,,
N534,,,,,379.45,,,,
N535,,,,,510,,,,
N536,,,,,1217.1,,,,
N537,,,,,510,,,,
N538,,,,,881.55,,,,
N539,,,,,3060,,,,
N540,,,,,2805,,,,
N541,,,,,255,,,,
N542,,,,,357,,,,
N543,,,,,586.5,,,,
N544,,,,,433.5,,,,
N545,,,,,295.8,,,,
N546,,,,,244.8,,,,
N547,,,,,306,,,,
N548,,,,,102,,,,
N549,,,,,632.4,,,,
N550,,,,,357,,,,
N551,,,,,229.5,,,,
N552,,,,,382.5,,,,
N553,,,,,204,,,,
N554,,,,,484.5,,,,
N555,,,,,590.4,,,,
N556,,,,,142.8,,,,
N557,,,,,1224,,,,
N558,,,,,1428,,,,
N559,,,,,1122,,,,
N560,,,,,2132.8,,,,
N561,,,,,2461.45,,,,
N562,,,,,1224,,,,
N563,,,,,510,,,,
N564,,,,,1020,,,,
N565,,,,,1622.8,,,,
N566,,,,,1020,,,,
N567,,,,,1020,,,,
N568,,,,,306,,,,
N569,,,,,1442.95,,,,
N570,,,,,655.25,,,,
N571,,,,,255,,,,
N572,,,,,1020,,,,
N573,,,,,1020,,,,
N574,,,,,1020,,,,
N575,,,,,765,,,,
N576,,,,,255,,,,
N577,,,,,1276.65,,,,
N578,,,,,1020,,,,
N579,,,,,1428,,,,
N580,,,,,765,,,,
N581,,,,,408,,,,
N582,,,,,1020,,,,
N583,,,,,1201.55,,,,
P001,,,,,399,,,,
P002,,,,High risk prenatal assessment,74.7,,,,
P003,,,,General assessment (major prenatal visit),80.35,,,,
P004,,,,Minor prenatal a ssessme,38.15,,,,
P005,,,,Antenatal p reventative health assessm,47.7,,,,
P006,,,,Vaginal,498.7,,,,
P007,,,,Postnatal care in hospital and/or home,55.15,,,,
P008,,,,Postnatal c are in off,36.85,,,,
P009,,,,Attendance at labour and delivery,498.7,,,,
P010,,,,Attendance of obstetric consultant(s) at delivery,211.2,,,,
P013,,,,Obstetrical a naesthesi,,,,,
P014C,,,,introduction of catheter for labour analgesia,,,,,
P016C,,,,maintenance of obstetrical epidural anaesthesia (one unit for each ? hour to a maximum of 12),,,,,
P018,,,,,579.8,,,,
P020,,,,,535.6,,,,
P023,,,,,67.75,,,,
P025,,,,,9.65,,,,
P029,,,,,54.4,,,,
P030,,,,,58.6,,,,
P031,,,,,145.1,,,,
P032,,,,,250,,,,
P034,,,,,125.75,,,,
P036,,,,,54.4,,,,
P038,,,,,211.2,,,,
P039,,,,,54.4,,,,
P041,,,,,609.2,,,,
P042,,,,,1004.6,,,,
P045,,,,,82.15,,,,
P046,,,,,200,,,,
P050,,,,,248.85,,,,
P051,,,,,348.4,,,,
P052,,,,,199.1,,,,
P053,,,,,248.85,,,,
P054,,,,,248.85,,,,
P055,,,,,398.1,,,,
P056,,,,,398.1,,,,
P057,,,,,199.1,,,,
P058,,,,,464.45,,,,
P059,,,,,464.45,,,,
P060,,,,,248.85,,,,
Q012A,,,,,,,,,
Q014A,,,,,15.05,,,,
Q015A,,,,,13.99,,,,
Q016A,,,,,,,,,
Q017A,,,,,,,,,
Q018A,,,,,,,,,
Q020A,,,,,,,,,
Q021A,,,,,,,,,
Q023A,,,,,150,,,,
Q040,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Diabetes management incentive,60,,,,
Q042A,,,,,7.5,,,,
Q043A,,,,,,,,,
Q050A,,,,,125,,,,
Q053A,,,,,350,,,,
Q091,,,,,,,,,
Q100A,,,,,,,,,
Q101A,,,,,,,,,
Q102A,,,,,,,,,
Q103A,,,,,,,,,
Q104A,,,,,,,,,
Q105A,,,,,,,,,
Q106A,,,,,,,,,
Q107A,,,,,,,,,
Q108A,,,,,,,,,
Q109A,,,,,,,,,
Q110A,,,,,,,,,
Q111A,,,,,,,,,
Q112A,,,,,,,,,
Q113A,,,,,,,,,
Q114A,,,,,,,,,
Q115A,,,,,,,,,
Q116A,,,,,,,,,
Q117A,,,,,,,,,
Q118A,,,,,,,,,
Q119A,,,,,,,,,
Q120A,,,,,,,,,
Q121A,,,,,,,,,
Q122A,,,,,,,,,
Q123A,,,,,,,,,
Q150A,,,,,7,,,,
Q152A,,,,,5,,,,
Q200A,,,,,0,,,,
Q201A,,,,,0,,,,
Q202A,,,,,0,,,,
Q590A,,,,,5.1,,,,
Q593A,,,,,5.6,,,,
Q888A,,,,,37.95,,,,
Q960,,,,,36.4,,,,
Q961,,,,,36.4,,,,
Q962,,,,,36.4,,,,
Q963,,,,,36.4,,,,
Q964,,,,,36.4,,,,
Q990,,,,,20,,,,
Q992,,,,,40,,,,
Q994,,,,,60,,,,
Q996,,,,,100,,,,
Q998,,,,,75,,,,
R002,,,,,67.4,,,,
R003,,,,,161.75,,,,
R004,,,,,242.7,,,,
R005,,,,,545,,,,
R006,,,,,734.95,,,,
R007,,,,,,,,,
R008,,,,,984.55,,,,
R009,,,,,783.4,,,,
R010,,,,,124.1,,,,
R011,,,,,89.85,,,,
R012,,,,,247.15,,,,
R013,,,,,338.85,,,,
R014,,,,,925.85,,,,
R015,,,,,925.85,,,,
R016,,,,,544.95,,,,
R017,,,,,417.05,,,,
R018,,,,,68.55,,,,
R019,,,,,112.9,,,,
R020,,,,,225.75,,,,
R021,,,,,115.6,,,,
R022,,,,,194.85,,,,
R023,,,,,277.9,,,,
R024,,,,,100.65,,,,
R025,,,,,,,,,
R026,,,,,77.35,,,,
R027,,,,,130.1,,,,
R028,,,,,185.6,,,,
R029,,,,,288.2,,,,
R030,,,,,,,,,
R031,,,,,55.05,,,,
R032,,,,,90.7,,,,
R033,,,,,181.55,,,,
R034,,,,,124.4,,,,
R035,,,,,200,,,,
R036,,,,,280,,,,
R037,,,,,200,,,,
R038,,,,,,,,,
R039,,,,,,,,,
R040,,,,,95.7,,,,
R041,,,,,191.4,,,,
R042,,,,,272.8,,,,
R043,,,,,201.1,,,,
R045,,,,,203.7,,,,
R046,,,,,335.15,,,,
R047,,,,,477.45,,,,
R048,,,,,92.15,,,,
R049,,,,,139.2,,,,
R050,,,,,233,,,,
R051,,,,,,,,,
R054,,,,,250,,,,
R055,,,,,544.95,,,,
R056,,,,,605.15,,,,
R057,,,,,,,,,
R058,,,,,,,,,
R059,,,,,248.8,,,,
R060,,,,,377.9,,,,
R061,,,,,140.25,,,,
R062,,,,,259.2,,,,
R063,,,,,430.85,,,,
R064,,,,,874.6,,,,
R065,,,,,925.85,,,,
R066,,,,,925.85,,,,
R067,,,,,1028.2,,,,
R068,,,,,1028.2,,,,
R069,,,,,961.6,,,,
R070,,,,,293.75,,,,
R071,,,,,223.35,,,,
R072,,,,,133.4,,,,
R073,,,,,318.45,,,,
R074,,,,,477.85,,,,
R075,,,,,223.35,,,,
R076,,,,,709.9,,,,
R078,,,,,311.45,,,,
R080,,,,,416.3,,,,
R081,,,,,315.45,,,,
R083,,,,,280.15,,,,
R084,,,,,92.3,,,,
R085,,,,,140.25,,,,
R086,,,,,259.1,,,,
R087,,,,,388,,,,
R088,,,,,567.95,,,,
R089,,,,,400,,,,
R090,,,,,250,,,,
R091,,,,,263.95,,,,
R092,,,,,116.65,,,,
R093,,,,,178.9,,,,
R094,,,,,58.15,,,,
R100,,,,,291.9,,,,
R101,,,,,132.45,,,,
R102,,,,,350,,,,
R106,,,,,,,,,
R107,,,,,169.95,,,,
R108,,,,,330,,,,
R109,,,,,685,,,,
R110,,,,,472.15,,,,
R111,,,,,269.4,,,,
R112,,,,,350,,,,
R114,,,,,230.3,,,,
R117,,,,,273.95,,,,
R118,,,,,405.6,,,,
R119,,,,,350,,,,
R120,,,,,300,,,,
R122,,,,,544.95,,,,
R123,,,,,696.4,,,,
R124,,,,,544.95,,,,
R125,,,,,874.6,,,,
R126,,,,,925.85,,,,
R127,,,,,874.6,,,,
R128,,,,,1183.5,,,,
R129,,,,,1183.2,,,,
R130,,,,,1183.5,,,,
R131,,,,,874.6,,,,
R132,,,,,925.85,,,,
R133,,,,,1028.2,,,,
R134,,,,,1048.6,,,,
R135,,,,,1048.6,,,,
R136,,,,,1048.6,,,,
R137,,,,,1048.6,,,,
R138,,,,,1048.6,,,,
R139,,,,,1233.75,,,,
R140,,,,,617.1,,,,
R141,,,,,617.1,,,,
R142,,,,,175,,,,
R143,,,,,472.15,,,,
R144,,,,,350,,,,
R145,,,,,204.8,,,,
R146,,,,,177.5,,,,
R147,,,,,273.95,,,,
R148,,,,,273.95,,,,
R149,,,,,273.95,,,,
R150,,,,,92.3,,,,
R151,,,,,140.25,,,,
R152,,,,,259.2,,,,
R153,,,,,388,,,,
R154,,,,,568.95,,,,
R155,,,,,734.95,,,,
R156,,,,,425,,,,
R158,,,,,547.45,,,,
R159,,,,,701.15,,,,
R160,,,,,53.2,,,,
R161,,,,,87.4,,,,
R162,,,,,174.75,,,,
R163,,,,,43.6,,,,
R164,,,,,71.8,,,,
R165,,,,,143.55,,,,
R181,,,,,508.2,,,,
R182,,,,,1216.8,,,,
R200,,,,,144.8,,,,
R201,,,,,193,,,,
R202,,,,,387,,,,
R209,,,,,363.05,,,,
R210,,,,,193,,,,
R214,,,,,484.35,,,,
R215,,,,,387,,,,
R216,,,,,1007.35,,,,
R217,,,,,242.25,,,,
R218,,,,,144.8,,,,
R219,,,,,182.9,,,,
R220,,,,,227.4,,,,
R222,,,,,262.6,,,,
R223,,,,,387.9,,,,
R225,,,,,290.55,,,,
R226,,,,,100,,,,
R228,,,,,302.55,,,,
R229,,,,,452.9,,,,
R231,,,,,355.35,,,,
R235,,,,,279.35,,,,
R236,,,,,322.05,,,,
R237,,,,,308.1,,,,
R238,,,,,411.2,,,,
R239,,,,,329.4,,,,
R240,,,,,942.95,,,,
R241,,,,,1304.8,,,,
R242,,,,,325.75,,,,
R243,,,,,619.9,,,,
R244,,,,,1174.3,,,,
R245,,,,,395.25,,,,
R246,,,,,385.15,,,,
R248,,,,,838,,,,
R249,,,,,379.5,,,,
R250,,,,,627.3,,,,
R253,,,,,648.2,,,,
R255,,,,,484.35,,,,
R256,,,,,117,,,,
R257,,,,,162.65,,,,
R258,,,,,193.2,,,,
R259,,,,,433.8,,,,
R260,,,,,559.25,,,,
R261,,,,,841.4,,,,
R262,,,,,727.15,,,,
R263,,,,,578.55,,,,
R265,,,,,399,,,,
R266,,,,,241.3,,,,
R267,,,,,158.65,,,,
R268,,,,,54.85,,,,
R269,,,,,290.55,,,,
R272,,,,,,,,,
R273,,,,,623.35,,,,
R276,,,,,144.8,,,,
R277,,,,,242.25,,,,
R278,,,,,532.95,,,,
R279,,,,,440.15,,,,
R280,,,,,353.1,,,,
R281,,,,,296.9,,,,
R282,,,,,100.15,,,,
R283,,,,,193,,,,
R284,,,,,276.55,,,,
R285,,,,,214.45,,,,
R286,,,,,234.75,,,,
R287,,,,,217.95,,,,
R288,,,,,269.9,,,,
R289,,,,,376.8,,,,
R290,,,,,207.9,,,,
R291,,,,,309,,,,
R292,,,,,299.75,,,,
R293,,,,,677.5,,,,
R294,,,,,165.2,,,,
R295,,,,,289.5,,,,
R297,,,,,681.1,,,,
R298,,,,,250.25,,,,
R299,,,,,127.15,,,,
R301,,,,,142,,,,
R302,,,,,150.3,,,,
R304,,,,,217.15,,,,
R305,,,,,155.9,,,,
R306,,,,,230.2,,,,
R307,,,,,139.25,,,,
R308,,,,,283.95,,,,
R309,,,,,175.45,,,,
R311,,,,,201.4,,,,
R312,,,,,276.55,,,,
R313,,,,,468.65,,,,
R314,,,,,225.5,,,,
R315,,,,,452.9,,,,
R316,,,,,338.75,,,,
R317,,,,,189.75,,,,
R318,,,,,126.25,,,,
R319,,,,,360.45,,,,
R320,,,,,232,,,,
R321,,,,,260.75,,,,
R322,,,,,588.2,,,,
R323,,,,,582.3,,,,
R324,,,,,398.1,,,,
R325,,,,,632.05,,,,
R326,,,,,696,,,,
R327,,,,,341.45,,,,
R328,,,,,872.65,,,,
R329,,,,,514.8,,,,
R330,,,,,629.65,,,,
R331,,,,,470.5,,,,
R332,,,,,541.95,,,,
R333,,,,,480.7,,,,
R334,,,,,409.55,,,,
R335,,,,,819.15,,,,
R337,,,,,225.5,,,,
R338,,,,,272.8,,,,
R339,,,,,322.05,,,,
R340,,,,,301.6,,,,
R341,,,,,426.9,,,,
R342,,,,,193,,,,
R343,,,,,313.65,,,,
R344,,,,,387,,,,
R345,,,,,260.75,,,,
R347,,,,,200,,,,
R349,,,,,803.8,,,,
R351,,,,,932.1,,,,
R352,,,,,832.3,,,,
R353,,,,,385.15,,,,
R354,,,,,154,,,,
R355,,,,,413.65,,,,
R360,,,,,711.15,,,,
R363,,,,,296.05,,,,
R364,,,,,580.9,,,,
R372,,,,,484.35,,,,
R376,,,,,2334.85,,,,
R377,,,,,1950.15,,,,
R378,,,,,2037.35,,,,
R379,,,,,803.8,,,,
R380,,,,,1495.5,,,,
R381,,,,,1121.5,,,,
R382,,,,,803.8,,,,
R383,,,,,932.1,,,,
R384,,,,,932.1,,,,
R385,,,,,1187.5,,,,
R386,,,,,384.6,,,,
R387,,,,,575.45,,,,
R388,,,,,767.85,,,,
R389,,,,,1443.95,,,,
R390,,,,,1699.45,,,,
R391,,,,,1950.15,,,,
R392,,,,,1485.1,,,,
R393,,,,,1443.95,,,,
R394,,,,,1525.3,,,,
R395,,,,,1402.75,,,,
R396,,,,,803.8,,,,
R398,,,,,414.3,,,,
R399,,,,,204.8,,,,
R400,,,,,379.5,,,,
R401,,,,,419.65,,,,
R402,,,,,367.45,,,,
R403,,,,,422.15,,,,
R404,,,,,190.2,,,,
R405,,,,,131.8,,,,
R406,,,,,472.35,,,,
R407,,,,,224.45,,,,
R408,,,,,312.7,,,,
R409,,,,,168,,,,
R410,,,,,212.5,,,,
R411,,,,,223.65,,,,
R412,,,,,207.9,,,,
R413,,,,,267.25,,,,
R414,,,,,339.65,,,,
R415,,,,,301.6,,,,
R416,,,,,206.9,,,,
R417,,,,,290.55,,,,
R418,,,,,342.55,,,,
R420,,,,,273.75,,,,
R421,,,,,407.25,,,,
R422,,,,,425.1,,,,
R423,,,,,470.5,,,,
R424,,,,,430.65,,,,
R425,,,,,226.4,,,,
R426,,,,,258,,,,
R427,,,,,387,,,,
R428,,,,,249.75,,,,
R429,,,,,241.3,,,,
R430,,,,,220.3,,,,
R431,,,,,148.5,,,,
R432,,,,,171.45,,,,
R433,,,,,349.3,,,,
R434,,,,,264.5,,,,
R435,,,,,254.35,,,,
R436,,,,,459.4,,,,
R437,,,,,374,,,,
R438,,,,,449.2,,,,
R439,,,,,490.95,,,,
R440,,,,,708.7,,,,
R441,,,,,631.2,,,,
R442,,,,,353.25,,,,
R443,,,,,447.3,,,,
R444,,,,,193,,,,
R445,,,,,199.55,,,,
R446,,,,,136.35,,,,
R448,,,,,371.2,,,,
R453,,,,,289.5,,,,
R454,,,,,387,,,,
R456,,,,,144.8,,,,
R458,,,,,387,,,,
R460,,,,,242.25,,,,
R462,,,,,803.8,,,,
R463,,,,,1187.5,,,,
R465,,,,,321.3,,,,
R466,,,,,714.7,,,,
R467,,,,,468.65,,,,
R468,,,,,402.75,,,,
R469,,,,,395.25,,,,
R470,,,,,703.45,,,,
R471,,,,,151.85,,,,
R472,,,,,580.9,,,,
R473,,,,,786.65,,,,
R475,,,,,836.45,,,,
R476,,,,,144.8,,,,
R477,,,,,468.35,,,,
R478,,,,,290.55,,,,
R479,,,,,193,,,,
R480,,,,,420.1,,,,
R481,,,,,290.55,,,,
R482,,,,,351.7,,,,
R483,,,,,619.9,,,,
R485,,,,,679.95,,,,
R486,,,,,927.7,,,,
R487,,,,,784.05,,,,
R488,,,,,557.75,,,,
R489,,,,,290.55,,,,
R491,,,,,353.25,,,,
R492,,,,,231.1,,,,
R493,,,,,1199,,,,
R495,,,,,320.2,,,,
R496,,,,,242.25,,,,
R497,,,,,368.4,,,,
R498,,,,,397.2,,,,
R499,,,,,402.75,,,,
R500,,,,,144.8,,,,
R501,,,,,126.25,,,,
R502,,,,,1228.7,,,,
R503,,,,,167.1,,,,
R504,,,,,144.8,,,,
R505,,,,,144.8,,,,
R506,,,,,149.45,,,,
R507,,,,,1315.7,,,,
R508,,,,,242.25,,,,
R509,,,,,241.6,,,,
R510,,,,,435.2,,,,
R511,,,,,1146.4,,,,
R512,,,,,211.6,,,,
R514,,,,,387,,,,
R515,,,,,484.35,,,,
R516,,,,,161.45,,,,
R517,,,,,107.7,,,,
R518,,,,,932.1,,,,
R519,,,,,136.35,,,,
R520,,,,,932.1,,,,
R521,,,,,314.6,,,,
R522,,,,,193,,,,
R523,,,,,484.35,,,,
R524,,,,,289.5,,,,
R525,,,,,88.6,,,,
R526,,,,,296.05,,,,
R527,,,,,434.25,,,,
R528,,,,,,,,,
R529,,,,,1058.4,,,,
R530,,,,,381.4,,,,
R531,,,,,307.15,,,,
R532,,,,,399,,,,
R533,,,,,511.9,,,,
R534,,,,,225,,,,
R535,,,,,1356.9,,,,
R536,,,,,156.5,,,,
R537,,,,,175,,,,
R538,,,,,1059.35,,,,
R539,,,,,213.45,,,,
R540,,,,,227.4,,,,
R541,,,,,309,,,,
R542,,,,,517.85,,,,
R543,,,,,168.85,,,,
R544,,,,,171.7,,,,
R545,,,,,266.35,,,,
R546,,,,,165.2,,,,
R547,,,,,290.55,,,,
R548,,,,,511.45,,,,
R549,,,,,177.8,,,,
R551,,,,,322.15,,,,
R552,,,,,506.65,,,,
R553,,,,,972.9,,,,
R554,,,,,294.2,,,,
R555,,,,,132.7,,,,
R556,,,,,202.25,,,,
R557,,,,,223.65,,,,
R558,,,,,357.2,,,,
R559,,,,,306.3,,,,
R560,,,,,253.3,,,,
R561,,,,,190.1,,,,
R562,,,,,193,,,,
R563,,,,,284.95,,,,
R564,,,,,232,,,,
R565,,,,,253.3,,,,
R566,,,,,253.3,,,,
R567,,,,,1315.7,,,,
R568,,,,,338.65,,,,
R569,,,,,339.65,,,,
R570,,,,,520.6,,,,
R571,,,,,307.15,,,,
R572,,,,,258.9,,,,
R573,,,,,147.2,,,,
R574,,,,,133.95,,,,
R575,,,,,194.05,,,,
R576,,,,,322.15,,,,
R577,,,,,147.3,,,,
R578,,,,,164.1,,,,
R579,,,,,87.2,,,,
R580,,,,,1525.3,,,,
R581,,,,,193,,,,
R582,,,,,246.65,,,,
R583,,,,,344.85,,,,
R584,,,,,144.8,,,,
R585,,,,,307.6,,,,
R586,,,,,97.35,,,,
R587,,,,,387,,,,
R588,,,,,803.8,,,,
R589,,,,,227.4,,,,
R590,,,,,201.4,,,,
R591,,,,,196.05,,,,
R592,,,,,484.35,,,,
R593,,,,,345.35,,,,
R594,,,,,498.3,,,,
R595,,,,,101.25,,,,
R596,,,,,286.7,,,,
R597,,,,,301.6,,,,
R598,,,,,48.25,,,,
R599,,,,,361.95,,,,
R600,,,,,289.5,,,,
R601,,,,,316.75,,,,
R602,,,,,596.35,,,,
R603,,,,,1586.2,,,,
R604,,,,,,,,,
R605,,,,,,,,,
R606,,,,,161.45,,,,
R607,,,,,387,,,,
R608,,,,,190.2,,,,
R609,,,,,1586.2,,,,
R610,,,,,279.35,,,,
R611,,,,,289.5,,,,
R612,,,,,289.5,,,,
R613,,,,,351.05,,,,
R614,,,,,289.5,,,,
R615,,,,,423.3,,,,
R616,,,,,373.1,,,,
R617,,,,,490.95,,,,
R618,,,,,204.8,,,,
R619,,,,,144.8,,,,
R620,,,,,155.9,,,,
R621,,,,,217.15,,,,
R622,,,,,235.75,,,,
R623,,,,,285.8,,,,
R624,,,,,328.65,,,,
R625,,,,,349.85,,,,
R626,,,,,306.3,,,,
R627,,,,,580.9,,,,
R628,,,,,774.9,,,,
R629,,,,,241.55,,,,
R630,,,,,514.8,,,,
R631,,,,,796.2,,,,
R632,,,,,193,,,,
R633,,,,,402.75,,,,
R637,,,,,29.65,,,,
R639,,,,,338.75,,,,
R640,,,,,126.25,,,,
R641,,,,,290.55,,,,
R642,,,,,387,,,,
R643,,,,,193,,,,
R644,,,,,307.15,,,,
R645,,,,,819.15,,,,
R646,,,,,1023.95,,,,
R647,,,,,204.8,,,,
R648,,,,,307.15,,,,
R649,,,,,461.3,,,,
R650,,,,,511.9,,,,
R651,,,,,666,,,,
R652,,,,,102.35,,,,
R653,,,,,2196.35,,,,
R654,,,,,307.15,,,,
R655,,,,,409.55,,,,
R656,,,,,2590.35,,,,
R657,,,,,2334.85,,,,
R658,,,,,2928.1,,,,
R659,,,,,932.1,,,,
R660,,,,,28.9,,,,
R661,,,,,47.95,,,,
R662,,,,,28.9,,,,
R675,,,,,1443.95,,,,
R676,,,,,1187.5,,,,
R677,,,,,2078.35,,,,
R678,,,,,1228.7,,,,
R679,,,,,1612.3,,,,
R680,,,,,1997.05,,,,
R681,,,,,1443.95,,,,
R682,,,,,400,,,,
R683,,,,,400,,,,
R684,,,,,400,,,,
R685,,,,,314.6,,,,
R686,,,,,669.8,,,,
R687,,,,,97.35,,,,
R688,,,,,400,,,,
R689,,,,,230,,,,
R690,,,,,17.25,,,,
R691,,,,,75,,,,
R692,,,,,87.5,,,,
R693,,,,,100,,,,
R694,,,,,353.25,,,,
R695,,,,,627.35,,,,
R696,,,,,500,,,,
R697,,,,,300,,,,
R698,,,,,100,,,,
R699,,,,,97.35,,,,
R700,,,,,,,,,
R701,,,,,721.6,,,,
R702,,,,,1334.8,,,,
R703,,,,,1443.05,,,,
R704,,,,,2163.35,,,,
R705,,,,,508.55,,,,
R706,,,,,1245.85,,,,
R708,,,,,409.55,,,,
R709,,,,,778.65,,,,
R710,,,,,1112.15,,,,
R711,,,,,741.55,,,,
R712,,,,,525.75,,,,
R713,,,,,635.45,,,,
R714,,,,,525.75,,,,
R715,,,,,755.8,,,,
R716,,,,,1124.7,,,,
R717,,,,,948.75,,,,
R718,,,,,948.75,,,,
R720,,,,,1285,,,,
R721,,,,,1739.2,,,,
R722,,,,,1152.3,,,,
R723,,,,,1152.3,,,,
R724,,,,,663.1,,,,
R725,,,,,758.8,,,,
R726,,,,,778.25,,,,
R727,,,,,678.8,,,,
R728,,,,,777.4,,,,
R729,,,,,717.25,,,,
R730,,,,,798.8,,,,
R731,,,,,770.55,,,,
R733,,,,,963.4,,,,
R734,,,,,789.6,,,,
R735,,,,,1200,,,,
R736,,,,,707.85,,,,
R737,,,,,869.7,,,,
R738,,,,,1049.2,,,,
R740,,,,,400,,,,
R741,,,,,730.7,,,,
R742,,,,,895.55,,,,
R743,,,,,1278.1,,,,
R746,,,,,864.5,,,,
R747,,,,,783.55,,,,
R748,,,,,635.45,,,,
R749,,,,,1001.4,,,,
R750,,,,,317.85,,,,
R751,,,,,465,,,,
R752,,,,,454.55,,,,
R753,,,,,720.3,,,,
R754,,,,,525.75,,,,
R755,,,,,730.7,,,,
R756,,,,,755.8,,,,
R757,,,,,785.9,,,,
R758,,,,,984.9,,,,
R759,,,,,774.35,,,,
R760,,,,,410.45,,,,
R761,,,,,587.35,,,,
R762,,,,,755.8,,,,
R763,,,,,317.85,,,,
R764,,,,,271.6,,,,
R765,,,,,231.3,,,,
R766,,,,,1303,,,,
R767,,,,,1303,,,,
R768,,,,,628.95,,,,
R769,,,,,,,,,
R770,,,,,885.6,,,,
R771,,,,,755.8,,,,
R772,,,,,758.8,,,,
R773,,,,,1648.25,,,,
R774,,,,,2058.2,,,,
R775,,,,,95.8,,,,
R776,,,,,263.05,,,,
R778,,,,,148.5,,,,
R780,,,,,878,,,,
R781,,,,,170.1,,,,
R783,,,,,2002,,,,
R784,,,,,2102,,,,
R785,,,,,2327.5,,,,
R786,,,,,805.65,,,,
R787,,,,,1265,,,,
R788,,,,,408.1,,,,
R789,,,,,299.85,,,,
R790,,,,,316.85,,,,
R791,,,,,1077.25,,,,
R792,,,,,841,,,,
R794,,,,,733.15,,,,
R795,,,,,598.4,,,,
R796,,,,,769.85,,,,
R797,,,,,1414.15,,,,
R798,,,,,820.7,,,,
R799,,,,,1473.15,,,,
R800,,,,,1840.35,,,,
R801,,,,,1260.3,,,,
R802,,,,,1585.5,,,,
R803,,,,,2859.3,,,,
R804,,,,,1643,,,,
R805,,,,,867.35,,,,
R806,,,,,867.35,,,,
R807,,,,,411.05,,,,
R808,,,,,600.3,,,,
R809,,,,,759.6,,,,
R810,,,,,805.65,,,,
R811,,,,,410.85,,,,
R812,,,,,410.45,,,,
R813,,,,,490,,,,
R814,,,,,461.5,,,,
R815,,,,,581.85,,,,
R817,,,,,2327.5,,,,
R818,,,,,596.7,,,,
R819,,,,,793.55,,,,
R820,,,,,396.95,,,,
R821,,,,,1117.9,,,,
R822,,,,,919.1,,,,
R823,,,,,1117.9,,,,
R824,,,,,866.55,,,,
R825,,,,,975.5,,,,
R826,,,,,497.25,,,,
R827,,,,,490.15,,,,
R828,,,,,446.5,,,,
R829,,,,,302.8,,,,
R830,,,,,910.7,,,,
R831,,,,,910.7,,,,
R832,,,,,867.35,,,,
R833,,,,,82.55,,,,
R834,,,,,446.5,,,,
R835,,,,,758.4,,,,
R836,,,,,866.55,,,,
R837,,,,,200,,,,
R838,,,,,303,,,,
R839,,,,,394.85,,,,
R840,,,,,496.6,,,,
